match_id,selected_synergy,card_status,winner,red_cells,blue_cells,score_gap,close_le_6,turns,moves,captures,capture_cell_turns,reclaim_turns,major_capture_turns,frontline_pressure_turns,encircle_pressure_turns,cut_turns,second_player_initiative,bridges,locks,synergies,synergy_labels,combo_label_hits,combo_labels,wild_uses,seed_uses,pass_uses,word_moves,three_letter_words,three_letter_ratio,best_swing,best_word,best_labels,opening,bot_style
21,COMEBACK_SPARK,active_scoring,RED,21,17,4,1,36,35,21,21,0,0,0,4,6,1,5,0,0,,29,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,24,0.686,4,やく,CAPTURE / SWING MOVE / FIRST CAPTURE / COMEBACK / SECOND PLAYER INITIATIVE,やまみち（山道）,Defender
22,BORDER_LORD,active_scoring,RED,23,17,6,1,36,35,24,23,0,1,0,5,4,1,6,1,2,SYNERGY:Border Lord: center held +1T,27,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,28,0.8,6,みなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,はなみ（花見）,Defender
23,FORTIFIER,active_scoring,RED,20,19,1,1,36,35,14,13,0,1,0,2,2,1,7,0,0,,20,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,12,0.343,6,はなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,もりみち（森）,Defender
24,COMEBACK_SPARK,active_scoring,RED,23,14,9,0,36,35,28,27,0,1,0,3,7,1,5,0,0,,29,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,31,0.886,6,みなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,はなみ（花見）,Builder
25,BORDER_LORD,active_scoring,RED,20,19,1,1,36,35,19,18,0,1,0,3,4,1,4,0,2,SYNERGY:Border Lord: center held +1T,26,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,20,0.571,6,きもの,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / CUT / SECOND PLAYER INITIATIVE,もりみち（森）,Defender
26,FORTIFIER,active_scoring,RED,17,15,2,1,36,35,13,12,0,1,0,4,3,1,2,0,0,,17,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / LONG PATH / MAJOR CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,15,0.429,8,みなみかぜ,LONG PATH / MEGA TERRITORY / CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,うみかぜ（海風）,Raider
27,COMEBACK_SPARK,active_scoring,BLUE,17,20,3,1,36,35,15,13,0,1,0,3,4,1,8,3,2,SYNERGY:Comeback Spark: comeback pressure +1T,23,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / FORTIFY CHAIN / LONG PATH / MAJOR CAPTURE / MEGA TERRITORY / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,14,0.4,8,みなみかぜ,LONG PATH / MEGA TERRITORY / CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,うみかぜ（海風）,Raider
28,BORDER_LORD,active_scoring,DRAW,20,20,0,1,36,35,32,29,0,3,0,3,7,1,5,1,2,SYNERGY:Border Lord: center held +1T,31,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,28,0.8,8,くみあい,CAPTURE / MAJOR CAPTURE / SWING MOVE / CROSS WORD / COMEBACK / BRIDGE,みずべ（水辺）,Defender
29,FORTIFIER,active_scoring,RED,18,15,3,1,36,35,20,18,0,2,0,3,6,1,6,0,2,SYNERGY:Fortifier: locked ground +1T,28,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,22,0.629,6,つなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,はなみ（花見）,Defender
30,COMEBACK_SPARK,active_scoring,DRAW,20,20,0,1,36,35,21,20,0,1,0,4,3,1,4,0,0,,28,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,23,0.657,6,つなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,はなみ（花見）,Raider
31,BORDER_LORD,active_scoring,BLUE,13,26,13,0,36,35,16,15,0,1,0,3,1,1,5,1,2,SYNERGY:Border Lord: center held +1T,28,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,21,0.6,5,ほい,SWING MOVE / COMEBACK / SECOND PLAYER INITIATIVE,ほしぞら（星空）,Builder
32,FORTIFIER,active_scoring,BLUE,14,19,5,1,36,35,16,16,0,0,0,2,5,1,3,0,1,SYNERGY:Fortifier: locked ground +1T,22,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,16,0.457,7,やわらか,CAPTURE / SWING MOVE / COMEBACK / CUT / ENCIRCLE PRESSURE / SYNERGY:Fortifier: locked ground +1T,そらかぜ（空）,Raider
33,COMEBACK_SPARK,active_scoring,RED,22,16,6,1,36,35,26,25,0,1,0,2,5,1,8,2,1,SYNERGY:Comeback Spark: comeback pressure +1T,29,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,25,0.714,4,やす,CAPTURE / SWING MOVE / FIRST CAPTURE / COMEBACK / SECOND PLAYER INITIATIVE,やまみち（山道）,Raider
34,BORDER_LORD,active_scoring,RED,24,13,11,0,36,35,25,24,0,1,0,2,6,1,6,0,2,SYNERGY:Border Lord: center held +1T,28,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,24,0.686,6,しみず,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,みずべ（水辺）,Defender
35,FORTIFIER,active_scoring,BLUE,17,22,5,1,36,35,16,16,0,0,0,3,3,1,3,0,0,,21,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,18,0.514,5,おたま,CAPTURE / SWING MOVE / COMEBACK / BRIDGE,やまみち（山道）,Builder
36,COMEBACK_SPARK,active_scoring,RED,21,17,4,1,36,35,21,19,0,2,0,4,3,1,5,0,0,,26,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,21,0.6,6,みなみ,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,もりみち（森）,Builder
37,BORDER_LORD,active_scoring,DRAW,19,19,0,1,36,35,25,23,0,2,0,3,7,1,7,0,2,SYNERGY:Border Lord: center held +1T,28,BRIDGE / CAPTURE / COMEBACK / CROSS WORD / CUT / EDGE REACH / ENCIRCLE PRESSURE / FIRST CAPTURE / MAJOR CAPTURE / SECOND PLAYER INITIATIVE / SWING MOVE,0,0,0,35,24,0.686,6,しみず,CAPTURE / MAJOR CAPTURE / SWING MOVE / FIRST CAPTURE / EDGE REACH / COMEBACK / SECOND PLAYER INITIATIVE,みずべ（水辺）,Raider
